serial_number,latency,timestamp
COTA,176.842,2022-06-30 11:32:42
MONA,177.79,2022-06-30 11:32:43
LISA,175.466,2022-06-30 11:32:43
BOSSA,175.296,2022-06-30 11:32:44
NOVA,303.118,2022-06-30 11:32:44
TERRA,183.189,2022-06-30 11:32:45
COTA,174.795,2022-06-30 11:32:45
MONA,177.896,2022-06-30 11:32:46
LISA,175.22,2022-06-30 11:32:46
BOSSA,174.173,2022-06-30 11:32:47
NOVA,173.684,2022-06-30 11:32:47
TERRA,182.968,2022-06-30 11:32:48
COTA,304.865,2022-06-30 11:32:48
MONA,177.325,2022-06-30 11:32:50
LISA,176.054,2022-06-30 11:32:50
BOSSA,172.716,2022-06-30 11:32:51
NOVA,172.579,2022-06-30 11:32:51
TERRA,174.048,2022-06-30 11:32:52
COTA,174.604,2022-06-30 11:32:52
MONA,173.635,2022-06-30 11:32:53
LISA,173.482,2022-06-30 11:32:53
BOSSA,172.55,2022-06-30 11:32:54
NOVA,178.278,2022-06-30 11:32:54
TERRA,172.949,2022-06-30 11:32:55
COTA,172.9,2022-06-30 11:32:55
MONA,173.281,2022-06-30 11:32:56
LISA,176.586,2022-06-30 11:32:56
BOSSA,171.697,2022-06-30 11:32:57
NOVA,171.814,2022-06-30 11:32:57
TERRA,173.079,2022-06-30 11:32:58
