serial_number,latency,timestamp
MONA,145.621,2022-06-30 13:13:50
MONA,318.654,2022-06-30 13:13:50
MONA,142.959,2022-06-30 13:13:51
LISA,156.076,2022-06-30 13:13:51
MONA,144.156,2022-06-30 13:13:51
LISA,184.382,2022-06-30 13:13:51
MONA,142.239,2022-06-30 13:13:51
LISA,143.291,2022-06-30 13:13:52
BOSSA,144.152,2022-06-30 13:13:52
MONA,230.236,2022-06-30 13:13:52
LISA,146.846,2022-06-30 13:13:52
BOSSA,143.406,2022-06-30 13:13:52
MONA,259.875,2022-06-30 13:13:52
LISA,156.21,2022-06-30 13:13:53
BOSSA,142.402,2022-06-30 13:13:53
NOVA,144.944,2022-06-30 13:13:53
MONA,144.747,2022-06-30 13:13:53
LISA,318.99,2022-06-30 13:13:53
BOSSA,199.889,2022-06-30 13:13:53
NOVA,199.523,2022-06-30 13:13:53
MONA,142.067,2022-06-30 13:13:53
LISA,143.131,2022-06-30 13:13:54
BOSSA,250.687,2022-06-30 13:13:54
NOVA,250.479,2022-06-30 13:13:54
MONA,146.573,2022-06-30 13:13:54
TERRA,267.844,2022-06-30 13:13:54
LISA,195.931,2022-06-30 13:13:54
BOSSA,146.98,2022-06-30 13:13:54
NOVA,251.525,2022-06-30 13:13:54
MONA,251.139,2022-06-30 13:13:54
LISA,151.165,2022-06-30 13:13:55
TERRA,153.036,2022-06-30 13:13:55
BOSSA,142.357,2022-06-30 13:13:55
COTA,144.982,2022-06-30 13:13:55
NOVA,145.983,2022-06-30 13:13:55
MONA,291.363,2022-06-30 13:13:55
TERRA,290.185,2022-06-30 13:13:55
LISA,292.253,2022-06-30 13:13:55
BOSSA,191.875,2022-06-30 13:13:55
COTA,143.01,2022-06-30 13:13:55
NOVA,251.182,2022-06-30 13:13:56
MONA,150.591,2022-06-30 13:13:56
BOSSA,147.779,2022-06-30 13:13:56
TERRA,150.052,2022-06-30 13:13:56
LISA,149.368,2022-06-30 13:13:56
COTA,143.931,2022-06-30 13:13:56
NOVA,145.591,2022-06-30 13:13:56
MONA,252.424,2022-06-30 13:13:56
BOSSA,252.068,2022-06-30 13:13:56
LISA,250.742,2022-06-30 13:13:56
TERRA,252.418,2022-06-30 13:13:56
COTA,183.72,2022-06-30 13:13:56
NOVA,142.66,2022-06-30 13:13:57
MONA,145.316,2022-06-30 13:13:57
COTA,250.984,2022-06-30 13:13:57
BOSSA,255.256,2022-06-30 13:13:57
LISA,254.934,2022-06-30 13:13:57
TERRA,254.464,2022-06-30 13:13:57
NOVA,157.499,2022-06-30 13:13:57
MONA,160.776,2022-06-30 13:13:57
COTA,177.383,2022-06-30 13:13:57
NOVA,256.925,2022-06-30 13:13:58
BOSSA,260.41,2022-06-30 13:13:58
LISA,259.601,2022-06-30 13:13:58
TERRA,258.948,2022-06-30 13:13:58
MONA,150.802,2022-06-30 13:13:58
COTA,147.052,2022-06-30 13:13:58
NOVA,146.388,2022-06-30 13:13:58
BOSSA,264.013,2022-06-30 13:13:58
MONA,261.722,2022-06-30 13:13:58
LISA,264.358,2022-06-30 13:13:58
TERRA,264.003,2022-06-30 13:13:58
COTA,157.465,2022-06-30 13:13:58
NOVA,175.637,2022-06-30 13:13:59
BOSSA,144.959,2022-06-30 13:13:59
MONA,251.611,2022-06-30 13:13:59
COTA,249.171,2022-06-30 13:13:59
LISA,252.402,2022-06-30 13:13:59
TERRA,252.075,2022-06-30 13:13:59
NOVA,142.702,2022-06-30 13:13:59
BOSSA,144.52,2022-06-30 13:13:59
MONA,251.035,2022-06-30 13:13:59
COTA,250.881,2022-06-30 13:13:59
NOVA,184.38,2022-06-30 13:14:00
TERRA,185.999,2022-06-30 13:14:00
LISA,187.698,2022-06-30 13:14:00
BOSSA,168.307,2022-06-30 13:14:00
MONA,143.49,2022-06-30 13:14:00
COTA,250.829,2022-06-30 13:14:00
NOVA,250.282,2022-06-30 13:14:00
LISA,248.914,2022-06-30 13:14:00
TERRA,250.358,2022-06-30 13:14:00
BOSSA,158.158,2022-06-30 13:14:01
MONA,242.106,2022-06-30 13:14:01
MONA,204.881,2022-06-30 13:14:01
COTA,142.993,2022-06-30 13:14:01
NOVA,251.409,2022-06-30 13:14:01
BOSSA,248.957,2022-06-30 13:14:01
LISA,251.777,2022-06-30 13:14:01
TERRA,251.541,2022-06-30 13:14:01
MONA,157.852,2022-06-30 13:14:01
MONA,157.317,2022-06-30 13:14:01
COTA,152.308,2022-06-30 13:14:02
LISA,144.077,2022-06-30 13:14:02
NOVA,143.946,2022-06-30 13:14:02
BOSSA,295.093,2022-06-30 13:14:02
MONA,292.494,2022-06-30 13:14:02
MONA,292.17,2022-06-30 13:14:02
LISA,295.929,2022-06-30 13:14:02
TERRA,295.606,2022-06-30 13:14:02
COTA,192.063,2022-06-30 13:14:02
LISA,191.659,2022-06-30 13:14:02
NOVA,142.594,2022-06-30 13:14:02
BOSSA,144.43,2022-06-30 13:14:03
MONA,250.587,2022-06-30 13:14:03
MONA,250.212,2022-06-30 13:14:03
COTA,247.89,2022-06-30 13:14:03
LISA,250.363,2022-06-30 13:14:03
TERRA,250.056,2022-06-30 13:14:03
LISA,248.652,2022-06-30 13:14:03
NOVA,151.533,2022-06-30 13:14:03
BOSSA,196.846,2022-06-30 13:14:03
BOSSA,142.516,2022-06-30 13:14:03
MONA,151.545,2022-06-30 13:14:03
MONA,251.125,2022-06-30 13:14:03
COTA,250.677,2022-06-30 13:14:03
NOVA,247.557,2022-06-30 13:14:03
BOSSA,246.876,2022-06-30 13:14:03
TERRA,249.98,2022-06-30 13:14:03
LISA,251.233,2022-06-30 13:14:03
LISA,249.941,2022-06-30 13:14:03
BOSSA,161.556,2022-06-30 13:14:04
MONA,161.885,2022-06-30 13:14:04
NOVA,151.211,2022-06-30 13:14:04
MONA,143.532,2022-06-30 13:14:04
COTA,292.57,2022-06-30 13:14:04
NOVA,292.31,2022-06-30 13:14:04
BOSSA,292.049,2022-06-30 13:14:04
BOSSA,288.69,2022-06-30 13:14:04
TERRA,292.166,2022-06-30 13:14:04
LISA,291.749,2022-06-30 13:14:04
LISA,291.432,2022-06-30 13:14:04
NOVA,190.042,2022-06-30 13:14:04
MONA,191.911,2022-06-30 13:14:04
MONA,142.349,2022-06-30 13:14:04
COTA,144.374,2022-06-30 13:14:05
NOVA,253.479,2022-06-30 13:14:05
BOSSA,253.134,2022-06-30 13:14:05
BOSSA,252.882,2022-06-30 13:14:05
MONA,248.58,2022-06-30 13:14:05
NOVA,250.166,2022-06-30 13:14:05
TERRA,253.707,2022-06-30 13:14:05
LISA,253.288,2022-06-30 13:14:05
LISA,252.829,2022-06-30 13:14:05
MONA,151.256,2022-06-30 13:14:05
TERRA,170.957,2022-06-30 13:14:05
COTA,142.729,2022-06-30 13:14:05
