serial_number,latency,timestamp
BOSSA,150.918,2022-06-30 11:57:26
BOSSA,383.374,2022-06-30 11:57:26
BOSSA,614.236,2022-06-30 11:57:26
NOVA,153.301,2022-06-30 11:57:26
BOSSA,846.46,2022-06-30 11:57:26
NOVA,575.366,2022-06-30 11:57:27
TERRA,152.146,2022-06-30 11:57:27
BOSSA,1305.331,2022-06-30 11:57:27
NOVA,1033.827,2022-06-30 11:57:27
TERRA,533.001,2022-06-30 11:57:27
COTA,168.193,2022-06-30 11:57:27
BOSSA,1771.509,2022-06-30 11:57:27
NOVA,1504.308,2022-06-30 11:57:28
COTA,494.907,2022-06-30 11:57:28
TERRA,1004.641,2022-06-30 11:57:28
BOSSA,2238.747,2022-06-30 11:57:28
NOVA,1968.753,2022-06-30 11:57:28
COTA,959.281,2022-06-30 11:57:28
TERRA,1468.984,2022-06-30 11:57:28
BOSSA,2698.755,2022-06-30 11:57:28
NOVA,2430.487,2022-06-30 11:57:28
COTA,1421.092,2022-06-30 11:57:28
TERRA,1930.727,2022-06-30 11:57:28
MONA,151.086,2022-06-30 11:57:29
BOSSA,3160.784,2022-06-30 11:57:29
NOVA,2890.499,2022-06-30 11:57:29
COTA,1881.038,2022-06-30 11:57:29
MONA,388.547,2022-06-30 11:57:29
TERRA,2391.158,2022-06-30 11:57:29
BOSSA,3621.027,2022-06-30 11:57:29
LISA,149.909,2022-06-30 11:57:29
NOVA,3350.158,2022-06-30 11:57:29
COTA,2340.708,2022-06-30 11:57:29
MONA,848.274,2022-06-30 11:57:29
TERRA,2850.913,2022-06-30 11:57:29
BOSSA,4083.434,2022-06-30 11:57:30
LISA,579.393,2022-06-30 11:57:30
BOSSA,149.58,2022-06-30 11:57:30
NOVA,3817.536,2022-06-30 11:57:30
COTA,2808.387,2022-06-30 11:57:30
MONA,1315.958,2022-06-30 11:57:30
TERRA,3318.641,2022-06-30 11:57:30
BOSSA,4550.312,2022-06-30 11:57:30
BOSSA,552.666,2022-06-30 11:57:30
LISA,1061.177,2022-06-30 11:57:30
NOVA,150.527,2022-06-30 11:57:30
NOVA,4278.839,2022-06-30 11:57:30
COTA,3269.404,2022-06-30 11:57:30
MONA,1777.017,2022-06-30 11:57:30
TERRA,3779.649,2022-06-30 11:57:30
TERRA,150.334,2022-06-30 11:57:31
BOSSA,5463.439,2022-06-30 11:57:31
BOSSA,1452.308,2022-06-30 11:57:31
NOVA,958.054,2022-06-30 11:57:31
LISA,1960.555,2022-06-30 11:57:31
COTA,157.519,2022-06-30 11:57:31
NOVA,5193.291,2022-06-30 11:57:31
COTA,4183.928,2022-06-30 11:57:31
MONA,2691.493,2022-06-30 11:57:31
TERRA,4694.123,2022-06-30 11:57:31
TERRA,676.183,2022-06-30 11:57:31
BOSSA,5924.627,2022-06-30 11:57:31
BOSSA,1913.593,2022-06-30 11:57:31
NOVA,1419.438,2022-06-30 11:57:31
COTA,409.344,2022-06-30 11:57:31
LISA,2422.651,2022-06-30 11:57:31
NOVA,5654.166,2022-06-30 11:57:32
COTA,4644.464,2022-06-30 11:57:32
MONA,3151.782,2022-06-30 11:57:32
TERRA,5154.211,2022-06-30 11:57:32
TERRA,1136.031,2022-06-30 11:57:32
MONA,152.385,2022-06-30 11:57:32
NOVA,1876.97,2022-06-30 11:57:32
COTA,867.131,2022-06-30 11:57:32
BOSSA,6385.294,2022-06-30 11:57:32
LISA,2881.247,2022-06-30 11:57:32
BOSSA,2374.626,2022-06-30 11:57:32
COTA,5103.504,2022-06-30 11:57:32
NOVA,6114.422,2022-06-30 11:57:32
MONA,3611.772,2022-06-30 11:57:32
MONA,607.596,2022-06-30 11:57:32
TERRA,5614.892,2022-06-30 11:57:32
TERRA,1596.838,2022-06-30 11:57:32
LISA,174.347,2022-06-30 11:57:32
COTA,1330.968,2022-06-30 11:57:32
NOVA,2342.259,2022-06-30 11:57:32
BOSSA,6849.756,2022-06-30 11:57:32
BOSSA,2838.209,2022-06-30 11:57:32
LISA,3346.032,2022-06-30 11:57:32
COTA,6048.984,2022-06-30 11:57:33
MONA,4556.592,2022-06-30 11:57:33
NOVA,7060.338,2022-06-30 11:57:33
MONA,1552.68,2022-06-30 11:57:33
TERRA,6560.176,2022-06-30 11:57:33
LISA,1049.986,2022-06-30 11:57:33
TERRA,2542.938,2022-06-30 11:57:33
BOSSA,552.948,2022-06-30 11:57:33
COTA,2285.0,2022-06-30 11:57:33
NOVA,3296.322,2022-06-30 11:57:33
BOSSA,7803.813,2022-06-30 11:57:33
BOSSA,3792.315,2022-06-30 11:57:33
LISA,4300.027,2022-06-30 11:57:33
NOVA,186.935,2022-06-30 11:57:33
COTA,6520.76,2022-06-30 11:57:34
MONA,5028.047,2022-06-30 11:57:34
NOVA,7531.646,2022-06-30 11:57:34
MONA,2023.866,2022-06-30 11:57:34
BOSSA,1021.873,2022-06-30 11:57:34
LISA,1520.233,2022-06-30 11:57:34
TERRA,7031.368,2022-06-30 11:57:34
TERRA,3013.023,2022-06-30 11:57:34
TERRA,150.719,2022-06-30 11:57:34
NOVA,3762.913,2022-06-30 11:57:34
BOSSA,8270.156,2022-06-30 11:57:34
BOSSA,4258.391,2022-06-30 11:57:34
COTA,2753.222,2022-06-30 11:57:34
NOVA,506.852,2022-06-30 11:57:34
LISA,4766.37,2022-06-30 11:57:34
COTA,6993.464,2022-06-30 11:57:34
MONA,5501.414,2022-06-30 11:57:34
NOVA,8005.427,2022-06-30 11:57:34
MONA,2497.933,2022-06-30 11:57:34
BOSSA,1496.318,2022-06-30 11:57:34
TERRA,7505.931,2022-06-30 11:57:34
TERRA,3487.99,2022-06-30 11:57:34
TERRA,488.042,2022-06-30 11:57:34
LISA,1996.716,2022-06-30 11:57:34
COTA,151.231,2022-06-30 11:57:34
NOVA,4259.303,2022-06-30 11:57:34
COTA,3249.426,2022-06-30 11:57:34
NOVA,1003.601,2022-06-30 11:57:34
LISA,5263.415,2022-06-30 11:57:34
BOSSA,8768.835,2022-06-30 11:57:34
BOSSA,4757.306,2022-06-30 11:57:34
MONA,154.932,2022-06-30 11:57:35
COTA,7930.85,2022-06-30 11:57:35
MONA,6438.73,2022-06-30 11:57:35
MONA,3434.816,2022-06-30 11:57:35
BOSSA,2433.158,2022-06-30 11:57:35
COTA,928.02,2022-06-30 11:57:35
NOVA,8944.523,2022-06-30 11:57:35
LISA,2933.086,2022-06-30 11:57:35
TERRA,8444.582,2022-06-30 11:57:35
TERRA,4426.852,2022-06-30 11:57:35
TERRA,1426.938,2022-06-30 11:57:35
LISA,167.609,2022-06-30 11:57:35
NOVA,5190.803,2022-06-30 11:57:35
COTA,4205.217,2022-06-30 11:57:35
NOVA,1958.896,2022-06-30 11:57:35
BOSSA,9723.199,2022-06-30 11:57:35
BOSSA,5711.402,2022-06-30 11:57:35
MONA,697.092,2022-06-30 11:57:35
LISA,6219.099,2022-06-30 11:57:35
NOVA,9427.449,2022-06-30 11:57:35
BOSSA,2917.721,2022-06-30 11:57:35
COTA,8418.24,2022-06-30 11:57:35
MONA,6925.499,2022-06-30 11:57:35
MONA,3921.17,2022-06-30 11:57:35
COTA,1413.489,2022-06-30 11:57:35
LISA,3417.745,2022-06-30 11:57:35
TERRA,8928.974,2022-06-30 11:57:35
TERRA,4910.802,2022-06-30 11:57:35
TERRA,1910.64,2022-06-30 11:57:35
LISA,416.894,2022-06-30 11:57:35
BOSSA,10157.848,2022-06-30 11:57:36
BOSSA,6146.282,2022-06-30 11:57:36
