serial_number,latency,timestamp
BOSSA,190.7980442047119,2022-06-30 11:32:11
NOVA,191.32494926452637,2022-06-30 11:32:11
TERRA,193.34650039672852,2022-06-30 11:32:12
COTA,192.60668754577637,2022-06-30 11:32:12
MONA,191.10393524169922,2022-06-30 11:32:13
LISA,197.07608222961426,2022-06-30 11:32:14
BOSSA,190.1557445526123,2022-06-30 11:32:14
NOVA,191.34926795959473,2022-06-30 11:32:14
TERRA,190.60778617858887,2022-06-30 11:32:15
COTA,192.1396255493164,2022-06-30 11:32:15
MONA,270.10202407836914,2022-06-30 11:32:16
LISA,287.8715991973877,2022-06-30 11:32:18
BOSSA,297.38593101501465,2022-06-30 11:32:18
NOVA,295.4232692718506,2022-06-30 11:32:18
TERRA,209.3334197998047,2022-06-30 11:32:18
COTA,188.7526512145996,2022-06-30 11:32:19
MONA,189.53394889831543,2022-06-30 11:32:20
LISA,188.90023231506348,2022-06-30 11:32:20
BOSSA,187.90435791015625,2022-06-30 11:32:21
NOVA,187.66522407531738,2022-06-30 11:32:21
TERRA,189.34035301208496,2022-06-30 11:32:22
COTA,190.5360221862793,2022-06-30 11:32:22
