serial_number,latency,timestamp
COTA,157.72,2022-06-30 11:54:01
MONA,149.985,2022-06-30 11:54:01
LISA,150.778,2022-06-30 11:54:02
BOSSA,168.975,2022-06-30 11:54:02
NOVA,150.568,2022-06-30 11:54:03
TERRA,148.12,2022-06-30 11:54:03
COTA,150.085,2022-06-30 11:54:04
MONA,149.946,2022-06-30 11:54:04
LISA,268.883,2022-06-30 11:54:05
BOSSA,149.013,2022-06-30 11:54:05
NOVA,148.858,2022-06-30 11:54:06
TERRA,153.804,2022-06-30 11:54:06
COTA,152.184,2022-06-30 11:54:07
MONA,149.655,2022-06-30 11:54:08
LISA,148.125,2022-06-30 11:54:09
BOSSA,149.582,2022-06-30 11:54:09
NOVA,149.182,2022-06-30 11:54:10
TERRA,304.612,2022-06-30 11:54:10
COTA,155.289,2022-06-30 11:54:11
MONA,162.959,2022-06-30 11:54:11
LISA,149.219,2022-06-30 11:54:12
BOSSA,183.347,2022-06-30 11:54:12
NOVA,188.624,2022-06-30 11:54:13
TERRA,348.323,2022-06-30 11:54:14
COTA,148.512,2022-06-30 11:54:14
MONA,164.424,2022-06-30 11:54:14
LISA,149.559,2022-06-30 11:54:15
BOSSA,148.931,2022-06-30 11:54:15
NOVA,148.885,2022-06-30 11:54:16
TERRA,147.925,2022-06-30 11:54:16
COTA,157.602,2022-06-30 11:54:17
MONA,151.449,2022-06-30 11:54:18
LISA,148.81,2022-06-30 11:54:19
BOSSA,148.615,2022-06-30 11:54:19
NOVA,150.353,2022-06-30 11:54:20
TERRA,147.353,2022-06-30 11:54:20
COTA,147.935,2022-06-30 11:54:21
MONA,150.356,2022-06-30 11:54:21
LISA,148.07,2022-06-30 11:54:22
BOSSA,150.102,2022-06-30 11:54:22
NOVA,148.146,2022-06-30 11:54:23
TERRA,147.416,2022-06-30 11:54:23
COTA,320.78,2022-06-30 11:54:24
MONA,149.527,2022-06-30 11:54:24
LISA,147.636,2022-06-30 11:54:25
BOSSA,147.473,2022-06-30 11:54:25
NOVA,150.214,2022-06-30 11:54:26
TERRA,148.064,2022-06-30 11:54:26
COTA,150.257,2022-06-30 11:54:27
MONA,149.038,2022-06-30 11:54:28
LISA,297.934,2022-06-30 11:54:29
BOSSA,148.661,2022-06-30 11:54:29
NOVA,148.38,2022-06-30 11:54:30
TERRA,148.498,2022-06-30 11:54:30
COTA,148.354,2022-06-30 11:54:31
MONA,165.537,2022-06-30 11:54:31
LISA,148.315,2022-06-30 11:54:32
BOSSA,147.624,2022-06-30 11:54:32
NOVA,149.018,2022-06-30 11:54:33
TERRA,147.568,2022-06-30 11:54:33
COTA,152.509,2022-06-30 11:54:34
MONA,148.812,2022-06-30 11:54:34
LISA,149.143,2022-06-30 11:54:35
BOSSA,151.883,2022-06-30 11:54:35
NOVA,149.427,2022-06-30 11:54:36
TERRA,1166.128,2022-06-30 11:54:37
COTA,659.53,2022-06-30 11:54:37
MONA,165.668,2022-06-30 11:54:38
LISA,146.986,2022-06-30 11:54:39
BOSSA,147.726,2022-06-30 11:54:39
NOVA,149.298,2022-06-30 11:54:40
TERRA,148.634,2022-06-30 11:54:40
COTA,148.664,2022-06-30 11:54:41
MONA,152.409,2022-06-30 11:54:41
LISA,148.835,2022-06-30 11:54:42
BOSSA,147.785,2022-06-30 11:54:42
NOVA,149.896,2022-06-30 11:54:43
TERRA,147.679,2022-06-30 11:54:43
COTA,310.07,2022-06-30 11:54:44
MONA,148.848,2022-06-30 11:54:44
LISA,153.599,2022-06-30 11:54:45
BOSSA,147.839,2022-06-30 11:54:45
NOVA,147.594,2022-06-30 11:54:46
TERRA,147.207,2022-06-30 11:54:47
COTA,147.712,2022-06-30 11:54:47
MONA,153.696,2022-06-30 11:54:48
LISA,150.257,2022-06-30 11:54:49
BOSSA,154.885,2022-06-30 11:54:49
NOVA,148.357,2022-06-30 11:54:50
TERRA,153.035,2022-06-30 11:54:50
COTA,149.619,2022-06-30 11:54:51
MONA,150.853,2022-06-30 11:54:51
LISA,150.063,2022-06-30 11:54:52
BOSSA,149.191,2022-06-30 11:54:52
NOVA,151.704,2022-06-30 11:54:53
TERRA,152.247,2022-06-30 11:54:53
COTA,154.58,2022-06-30 11:54:54
MONA,150.43,2022-06-30 11:54:54
LISA,148.983,2022-06-30 11:54:55
BOSSA,150.434,2022-06-30 11:54:55
NOVA,152.071,2022-06-30 11:54:56
TERRA,165.049,2022-06-30 11:54:56
COTA,147.834,2022-06-30 11:54:57
MONA,159.471,2022-06-30 11:54:58
LISA,149.765,2022-06-30 11:54:59
BOSSA,147.066,2022-06-30 11:54:59
NOVA,147.996,2022-06-30 11:55:00
TERRA,148.628,2022-06-30 11:55:00
COTA,147.741,2022-06-30 11:55:01
MONA,148.943,2022-06-30 11:55:01
LISA,148.964,2022-06-30 11:55:02
BOSSA,335.859,2022-06-30 11:55:03
NOVA,148.324,2022-06-30 11:55:03
TERRA,153.833,2022-06-30 11:55:03
COTA,179.811,2022-06-30 11:55:04
MONA,315.953,2022-06-30 11:55:05
LISA,149.648,2022-06-30 11:55:05
BOSSA,148.169,2022-06-30 11:55:05
NOVA,148.035,2022-06-30 11:55:06
TERRA,197.089,2022-06-30 11:55:06
COTA,155.24,2022-06-30 11:55:07
MONA,148.532,2022-06-30 11:55:08
LISA,148.846,2022-06-30 11:55:09
BOSSA,146.72,2022-06-30 11:55:09
NOVA,173.483,2022-06-30 11:55:10
TERRA,147.694,2022-06-30 11:55:11
COTA,155.164,2022-06-30 11:55:11
MONA,155.779,2022-06-30 11:55:11
LISA,147.453,2022-06-30 11:55:12
BOSSA,161.656,2022-06-30 11:55:12
NOVA,149.526,2022-06-30 11:55:13
TERRA,147.392,2022-06-30 11:55:13
COTA,147.766,2022-06-30 11:55:14
MONA,149.816,2022-06-30 11:55:14
LISA,147.884,2022-06-30 11:55:15
BOSSA,159.09,2022-06-30 11:55:15
NOVA,148.636,2022-06-30 11:55:16
TERRA,152.42,2022-06-30 11:55:16
COTA,147.321,2022-06-30 11:55:17
MONA,148.614,2022-06-30 11:55:18
LISA,148.798,2022-06-30 11:55:19
BOSSA,147.508,2022-06-30 11:55:19
NOVA,148.371,2022-06-30 11:55:20
TERRA,146.257,2022-06-30 11:55:20
COTA,148.855,2022-06-30 11:55:21
MONA,149.217,2022-06-30 11:55:21
LISA,147.248,2022-06-30 11:55:22
BOSSA,150.591,2022-06-30 11:55:22
NOVA,148.061,2022-06-30 11:55:23
TERRA,150.463,2022-06-30 11:55:23
COTA,147.626,2022-06-30 11:55:24
MONA,151.264,2022-06-30 11:55:24
LISA,146.396,2022-06-30 11:55:25
BOSSA,146.643,2022-06-30 11:55:25
NOVA,146.881,2022-06-30 11:55:26
TERRA,149.839,2022-06-30 11:55:26
COTA,147.159,2022-06-30 11:55:27
MONA,235.326,2022-06-30 11:55:29
LISA,147.684,2022-06-30 11:55:29
BOSSA,147.7,2022-06-30 11:55:30
NOVA,150.136,2022-06-30 11:55:30
TERRA,224.836,2022-06-30 11:55:31
COTA,148.775,2022-06-30 11:55:31
MONA,153.476,2022-06-30 11:55:31
LISA,148.116,2022-06-30 11:55:32
BOSSA,156.839,2022-06-30 11:55:32
NOVA,151.279,2022-06-30 11:55:33
TERRA,147.109,2022-06-30 11:55:33
COTA,157.425,2022-06-30 11:55:34
MONA,149.84,2022-06-30 11:55:35
LISA,253.675,2022-06-30 11:55:35
BOSSA,157.641,2022-06-30 11:55:36
NOVA,232.956,2022-06-30 11:55:36
TERRA,393.894,2022-06-30 11:55:37
COTA,211.502,2022-06-30 11:55:37
MONA,153.927,2022-06-30 11:55:38
LISA,163.503,2022-06-30 11:55:39
BOSSA,184.978,2022-06-30 11:55:40
NOVA,152.526,2022-06-30 11:55:40
TERRA,146.278,2022-06-30 11:55:41
COTA,148.125,2022-06-30 11:55:41
MONA,148.056,2022-06-30 11:55:42
LISA,147.336,2022-06-30 11:55:42
BOSSA,147.183,2022-06-30 11:55:43
NOVA,147.816,2022-06-30 11:55:43
TERRA,147.681,2022-06-30 11:55:44
COTA,147.953,2022-06-30 11:55:44
MONA,148.447,2022-06-30 11:55:45
LISA,147.463,2022-06-30 11:55:45
BOSSA,185.69,2022-06-30 11:55:46
NOVA,157.657,2022-06-30 11:55:46
TERRA,146.876,2022-06-30 11:55:47
COTA,146.358,2022-06-30 11:55:47
