serial_number,latency,timestamp
TERRA,145.297,2022-06-30 13:27:04
COTA,148.788,2022-06-30 13:27:05
MONA,152.202,2022-06-30 13:27:08
LISA,156.131,2022-06-30 13:27:09
BOSSA,148.364,2022-06-30 13:27:11
NOVA,146.796,2022-06-30 13:27:12
TERRA,154.589,2022-06-30 13:27:14
COTA,157.541,2022-06-30 13:27:15
MONA,192.595,2022-06-30 13:27:18
LISA,145.535,2022-06-30 13:27:19
BOSSA,142.855,2022-06-30 13:27:21
NOVA,144.668,2022-06-30 13:27:22
TERRA,167.492,2022-06-30 13:27:24
COTA,160.095,2022-06-30 13:27:26
MONA,146.537,2022-06-30 13:27:28
LISA,143.591,2022-06-30 13:27:30
BOSSA,151.402,2022-06-30 13:27:31
NOVA,146.066,2022-06-30 13:27:33
TERRA,145.939,2022-06-30 13:27:34
COTA,144.762,2022-06-30 13:27:35
MONA,173.14,2022-06-30 13:27:38
LISA,143.445,2022-06-30 13:27:39
BOSSA,147.307,2022-06-30 13:27:41
NOVA,200.372,2022-06-30 13:27:42
TERRA,218.577,2022-06-30 13:27:44
COTA,249.692,2022-06-30 13:27:45
MONA,144.379,2022-06-30 13:27:48
LISA,237.64,2022-06-30 13:27:49
BOSSA,173.563,2022-06-30 13:27:51
NOVA,142.79,2022-06-30 13:27:52
TERRA,153.401,2022-06-30 13:27:54
COTA,144.85,2022-06-30 13:27:55
MONA,147.609,2022-06-30 13:27:58
LISA,227.478,2022-06-30 13:27:59
BOSSA,145.395,2022-06-30 13:28:01
NOVA,145.159,2022-06-30 13:28:02
TERRA,145.176,2022-06-30 13:28:04
COTA,144.871,2022-06-30 13:28:05
MONA,148.29,2022-06-30 13:28:08
LISA,144.224,2022-06-30 13:28:09
BOSSA,210.315,2022-06-30 13:28:11
NOVA,147.961,2022-06-30 13:28:12
TERRA,225.01,2022-06-30 13:28:14
COTA,273.96,2022-06-30 13:28:15
MONA,150.698,2022-06-30 13:28:18
LISA,166.093,2022-06-30 13:28:19
BOSSA,161.473,2022-06-30 13:28:21
NOVA,154.422,2022-06-30 13:28:22
TERRA,143.85,2022-06-30 13:28:24
COTA,143.038,2022-06-30 13:28:25
MONA,181.442,2022-06-30 13:28:28
LISA,142.365,2022-06-30 13:28:29
BOSSA,161.295,2022-06-30 13:28:31
NOVA,142.621,2022-06-30 13:28:32
TERRA,145.282,2022-06-30 13:28:34
COTA,147.737,2022-06-30 13:28:35
MONA,145.105,2022-06-30 13:28:38
LISA,142.441,2022-06-30 13:28:39
BOSSA,248.343,2022-06-30 13:28:41
NOVA,142.996,2022-06-30 13:28:42
TERRA,142.937,2022-06-30 13:28:44
COTA,143.317,2022-06-30 13:28:45
MONA,162.751,2022-06-30 13:28:48
LISA,196.03,2022-06-30 13:28:49
BOSSA,357.634,2022-06-30 13:28:51
NOVA,600.695,2022-06-30 13:28:53
TERRA,198.341,2022-06-30 13:28:54
COTA,148.555,2022-06-30 13:28:55
MONA,143.722,2022-06-30 13:28:58
LISA,146.986,2022-06-30 13:28:59
BOSSA,143.882,2022-06-30 13:29:01
NOVA,143.969,2022-06-30 13:29:02
TERRA,160.194,2022-06-30 13:29:04
COTA,231.767,2022-06-30 13:29:05
MONA,288.747,2022-06-30 13:29:08
LISA,175.603,2022-06-30 13:29:09
BOSSA,155.017,2022-06-30 13:29:11
NOVA,158.454,2022-06-30 13:29:12
TERRA,142.755,2022-06-30 13:29:14
COTA,142.85,2022-06-30 13:29:15
MONA,196.682,2022-06-30 13:29:18
LISA,143.69,2022-06-30 13:29:19
BOSSA,185.572,2022-06-30 13:29:21
NOVA,147.654,2022-06-30 13:29:22
TERRA,143.631,2022-06-30 13:29:24
COTA,158.226,2022-06-30 13:29:25
MONA,144.461,2022-06-30 13:29:28
LISA,143.131,2022-06-30 13:29:29
BOSSA,143.901,2022-06-30 13:29:31
NOVA,143.106,2022-06-30 13:29:32
TERRA,147.898,2022-06-30 13:29:34
COTA,143.103,2022-06-30 13:29:35
MONA,144.743,2022-06-30 13:29:38
LISA,144.132,2022-06-30 13:29:39
BOSSA,143.055,2022-06-30 13:29:41
NOVA,144.821,2022-06-30 13:29:42
TERRA,144.154,2022-06-30 13:29:44
COTA,144.528,2022-06-30 13:29:45
MONA,173.924,2022-06-30 13:29:48
LISA,142.493,2022-06-30 13:29:49
BOSSA,142.856,2022-06-30 13:29:51
NOVA,147.015,2022-06-30 13:29:52
TERRA,225.358,2022-06-30 13:29:54
COTA,145.586,2022-06-30 13:29:55
MONA,144.632,2022-06-30 13:29:58
LISA,144.156,2022-06-30 13:29:59
BOSSA,143.301,2022-06-30 13:30:01
NOVA,143.645,2022-06-30 13:30:02
TERRA,162.681,2022-06-30 13:30:04
COTA,144.585,2022-06-30 13:30:05
MONA,144.282,2022-06-30 13:30:08
LISA,143.447,2022-06-30 13:30:09
BOSSA,269.186,2022-06-30 13:30:11
NOVA,147.693,2022-06-30 13:30:12
TERRA,142.59,2022-06-30 13:30:14
COTA,219.993,2022-06-30 13:30:16
MONA,284.35,2022-06-30 13:30:18
LISA,343.534,2022-06-30 13:30:20
BOSSA,226.893,2022-06-30 13:30:21
NOVA,143.206,2022-06-30 13:30:22
TERRA,190.831,2022-06-30 13:30:24
COTA,149.149,2022-06-30 13:30:26
MONA,143.924,2022-06-30 13:30:28
LISA,145.389,2022-06-30 13:30:30
BOSSA,321.625,2022-06-30 13:30:31
NOVA,411.929,2022-06-30 13:30:33
TERRA,145.417,2022-06-30 13:30:34
COTA,142.906,2022-06-30 13:30:36
MONA,145.612,2022-06-30 13:30:38
LISA,144.119,2022-06-30 13:30:40
BOSSA,183.295,2022-06-30 13:30:41
NOVA,548.966,2022-06-30 13:30:43
TERRA,161.219,2022-06-30 13:30:44
COTA,295.931,2022-06-30 13:30:46
MONA,283.463,2022-06-30 13:30:48
LISA,152.262,2022-06-30 13:30:50
BOSSA,142.407,2022-06-30 13:30:51
NOVA,689.07,2022-06-30 13:30:53
TERRA,167.6,2022-06-30 13:30:54
COTA,157.206,2022-06-30 13:30:56
MONA,146.77,2022-06-30 13:30:58
LISA,143.262,2022-06-30 13:31:00
BOSSA,204.776,2022-06-30 13:31:01
NOVA,668.723,2022-06-30 13:31:03
TERRA,142.65,2022-06-30 13:31:04
COTA,142.912,2022-06-30 13:31:06
MONA,144.185,2022-06-30 13:31:08
LISA,145.084,2022-06-30 13:31:10
BOSSA,149.189,2022-06-30 13:31:11
NOVA,664.956,2022-06-30 13:31:13
TERRA,151.933,2022-06-30 13:31:14
COTA,143.011,2022-06-30 13:31:16
MONA,143.699,2022-06-30 13:31:18
LISA,144.7,2022-06-30 13:31:20
BOSSA,144.576,2022-06-30 13:31:21
NOVA,667.496,2022-06-30 13:31:23
TERRA,143.159,2022-06-30 13:31:24
COTA,197.361,2022-06-30 13:31:26
MONA,157.674,2022-06-30 13:31:28
LISA,244.144,2022-06-30 13:31:30
BOSSA,142.445,2022-06-30 13:31:31
NOVA,147.742,2022-06-30 13:31:33
TERRA,142.583,2022-06-30 13:31:34
COTA,143.369,2022-06-30 13:31:36
MONA,179.821,2022-06-30 13:31:38
LISA,142.716,2022-06-30 13:31:40
BOSSA,150.366,2022-06-30 13:31:41
NOVA,143.922,2022-06-30 13:31:43
TERRA,143.063,2022-06-30 13:31:44
COTA,143.81,2022-06-30 13:31:46
MONA,184.395,2022-06-30 13:31:48
LISA,142.745,2022-06-30 13:31:50
BOSSA,244.031,2022-06-30 13:31:51
NOVA,929.218,2022-06-30 13:31:53
TERRA,324.632,2022-06-30 13:31:54
COTA,142.871,2022-06-30 13:31:56
MONA,144.453,2022-06-30 13:31:58
LISA,150.208,2022-06-30 13:32:00
BOSSA,143.108,2022-06-30 13:32:01
NOVA,277.427,2022-06-30 13:32:03
TERRA,142.777,2022-06-30 13:32:04
COTA,145.387,2022-06-30 13:32:06
MONA,151.745,2022-06-30 13:32:08
LISA,144.023,2022-06-30 13:32:10
BOSSA,156.66,2022-06-30 13:32:11
NOVA,199.748,2022-06-30 13:32:13
TERRA,143.027,2022-06-30 13:32:14
COTA,177.599,2022-06-30 13:32:16
MONA,224.143,2022-06-30 13:32:18
LISA,142.68,2022-06-30 13:32:20
BOSSA,199.26,2022-06-30 13:32:21
NOVA,244.541,2022-06-30 13:32:23
TERRA,176.048,2022-06-30 13:32:24
COTA,168.423,2022-06-30 13:32:26
MONA,145.023,2022-06-30 13:32:28
LISA,142.997,2022-06-30 13:32:30
BOSSA,163.144,2022-06-30 13:32:31
NOVA,333.726,2022-06-30 13:32:33
TERRA,265.81,2022-06-30 13:32:34
COTA,193.84,2022-06-30 13:32:36
MONA,143.042,2022-06-30 13:32:38
LISA,146.387,2022-06-30 13:32:40
BOSSA,142.716,2022-06-30 13:32:41
NOVA,143.696,2022-06-30 13:32:43
TERRA,254.076,2022-06-30 13:32:44
COTA,143.337,2022-06-30 13:32:46
MONA,239.023,2022-06-30 13:32:48
LISA,142.473,2022-06-30 13:32:50
BOSSA,142.838,2022-06-30 13:32:51
NOVA,439.308,2022-06-30 13:32:53
TERRA,167.63,2022-06-30 13:32:54
COTA,151.282,2022-06-30 13:32:56
MONA,208.612,2022-06-30 13:32:58
LISA,143.477,2022-06-30 13:33:00
BOSSA,147.208,2022-06-30 13:33:01
NOVA,523.563,2022-06-30 13:33:03
TERRA,178.246,2022-06-30 13:33:04
COTA,148.162,2022-06-30 13:33:06
MONA,287.949,2022-06-30 13:33:08
LISA,261.21,2022-06-30 13:33:10
BOSSA,144.672,2022-06-30 13:33:11
NOVA,145.706,2022-06-30 13:33:13
TERRA,165.924,2022-06-30 13:33:14
COTA,150.997,2022-06-30 13:33:16
MONA,198.081,2022-06-30 13:33:18
LISA,143.255,2022-06-30 13:33:20
BOSSA,240.801,2022-06-30 13:33:21
NOVA,245.733,2022-06-30 13:33:23
TERRA,142.384,2022-06-30 13:33:24
COTA,188.715,2022-06-30 13:33:26
MONA,145.27,2022-06-30 13:33:28
LISA,186.615,2022-06-30 13:33:30
BOSSA,142.883,2022-06-30 13:33:31
NOVA,142.525,2022-06-30 13:33:33
TERRA,164.795,2022-06-30 13:33:34
COTA,141.879,2022-06-30 13:33:36
MONA,143.365,2022-06-30 13:33:38
LISA,142.272,2022-06-30 13:33:40
BOSSA,142.067,2022-06-30 13:33:41
NOVA,167.177,2022-06-30 13:33:43
TERRA,142.706,2022-06-30 13:33:44
COTA,212.567,2022-06-30 13:33:46
MONA,198.655,2022-06-30 13:33:48
LISA,141.944,2022-06-30 13:33:50
BOSSA,258.319,2022-06-30 13:33:51
NOVA,258.328,2022-06-30 13:33:53
TERRA,142.206,2022-06-30 13:33:54
COTA,199.21,2022-06-30 13:33:56
MONA,246.351,2022-06-30 13:33:58
LISA,161.314,2022-06-30 13:34:00
BOSSA,159.727,2022-06-30 13:34:01
NOVA,142.73,2022-06-30 13:34:03
TERRA,171.59,2022-06-30 13:34:04
COTA,257.93,2022-06-30 13:34:06
MONA,143.762,2022-06-30 13:34:08
LISA,142.838,2022-06-30 13:34:10
BOSSA,145.2,2022-06-30 13:34:11
NOVA,142.435,2022-06-30 13:34:13
TERRA,142.294,2022-06-30 13:34:14
COTA,150.478,2022-06-30 13:34:16
MONA,143.814,2022-06-30 13:34:18
LISA,141.903,2022-06-30 13:34:20
BOSSA,141.856,2022-06-30 13:34:21
