serial_number,latency,timestamp
NOVA,786.543,2022-06-30 13:26:33.858594
TERRA,505.713,2022-06-30 13:26:34.921936
COTA,425.499,2022-06-30 13:26:35.980918
MONA,502.912,2022-06-30 13:26:38.668014
LISA,326.047,2022-06-30 13:26:39.992216
BOSSA,416.451,2022-06-30 13:26:41.526940
NOVA,333.264,2022-06-30 13:26:43.016151
TERRA,382.946,2022-06-30 13:26:44.582387
COTA,446.548,2022-06-30 13:26:46.164555
MONA,458.011,2022-06-30 13:26:48.519769
LISA,505.912,2022-06-30 13:26:50.079941
BOSSA,382.915,2022-06-30 13:26:51.489873
NOVA,358.593,2022-06-30 13:26:53.033268
TERRA,326.825,2022-06-30 13:26:54.672840
COTA,371.964,2022-06-30 13:26:55.998142
MONA,345.956,2022-06-30 13:26:58.461540
LISA,411.091,2022-06-30 13:27:00.007745
BOSSA,336.679,2022-06-30 13:27:01.438037
NOVA,358.299,2022-06-30 13:27:02.964469
TERRA,424.034,2022-06-30 13:27:05.262442
COTA,470.507,2022-06-30 13:27:06.054754
MONA,333.509,2022-06-30 13:27:08.779746
LISA,345.265,2022-06-30 13:27:10.046541
BOSSA,553.367,2022-06-30 13:27:11.697534
NOVA,593.377,2022-06-30 13:27:13.259051
TERRA,435.638,2022-06-30 13:27:14.579155
COTA,349.761,2022-06-30 13:27:15.955265
MONA,412.935,2022-06-30 13:27:18.514885
LISA,339.393,2022-06-30 13:27:19.941693
BOSSA,352.477,2022-06-30 13:27:21.457287
NOVA,555.43,2022-06-30 13:27:23.198791
TERRA,561.008,2022-06-30 13:27:24.826909
COTA,503.218,2022-06-30 13:27:26.475145
MONA,797.62,2022-06-30 13:27:29.258569
LISA,608.807,2022-06-30 13:27:30.585165
BOSSA,657.133,2022-06-30 13:27:32.161050
NOVA,838.397,2022-06-30 13:27:33.797174
TERRA,399.359,2022-06-30 13:27:34.763589
COTA,325.423,2022-06-30 13:27:35.951657
MONA,356.58,2022-06-30 13:27:38.490770
LISA,336.172,2022-06-30 13:27:39.968413
BOSSA,328.335,2022-06-30 13:27:41.470251
NOVA,391.073,2022-06-30 13:27:43.043298
TERRA,429.783,2022-06-30 13:27:44.706504
COTA,430.779,2022-06-30 13:27:46.075798
